No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
91,Arik Armstead\ArmsAr01,24,de,6,6,292,6-7,Oregon,11/15/1993,2,2,San Francisco 49ers / 1st / 17th pick / 2015,$1329785
54,Ray-Ray Armstrong\ArmsRa01,26,lb,10,5,220,6-3,Miami (FL),3/5/1991,4,6,,$1000000
61,Tim Barnes\BarnTi01,29,,1,0,297,6-4,Missouri,5/14/1988,6,0,,$227941
68,Zane Beadles\BeadZa20,31,t,16,5,305,6-4,Utah,11/19/1986,7,3,Denver Broncos / 2nd / 45th pick / 2010,$2450000
3,C.J. Beathard\BeatC.00,24,qb,7,5,215,6-2,Iowa,11/16/1993,Rook,4,San Francisco 49ers / 3rd / 104th pick / 2017,$465000
98,Ronald Blair\BlaiRo00,24,de,6,2,270,6-4,Appalachian St.,1/23/1993,1,1,San Francisco 49ers / 5th / 142nd pick / 2016,$363000
17,Victor Bolden\BoldVi00,22,,9,0,178,5-8,Oregon St.,4/4/1995,Rook,0,,$465000
84,Kendrick Bourne\BourKe00,22,,11,0,203,6-1,East. Washington,8/4/1995,Rook,2,,$465000
53,NaVorro Bowman\BowmNa99,29,mlb,5,5,230,6-1,Penn St.,3/28/1988,7,2,San Francisco 49ers / 3rd / 91st pick / 2010,$6750000
22,Matt Breida\BreiMa00,22,,16,0,190,5-10,Georgia Southern,2/28/1995,Rook,4,,$465000
77,Trent Brown\BrowTr02,24,T,10,10,380,6-8,Florida,4/13/1993,2,5,San Francisco 49ers / 7th / 244th pick / 2015,$615000
99,DeForest Buckner\BuckDe00,23,RDT,16,16,300,6-7,Oregon,3/17/1994,1,7,San Francisco 49ers / 1st / 7th pick / 2016,$1276863
95,Tank Carradine\CarrCo00,27,de,8,7,270,6-4,Florida St.,2/18/1990,4,3,San Francisco 49ers / 2nd / 40th pick / 2013,$1100000
88,Garrett Celek\CeleGa00,29,TE,16,13,252,6-5,Michigan St.,5/29/1988,5,3,,$1550000
38,Adrian Colbert\ColbAd00,24,ss,14,6,205,6-2,Miami (FL),10/6/1993,Rook,2,San Francisco 49ers / 7th / 229th pick / 2017,$465000
96,Xavier Cooper\CoopXa00,26,,5,0,300,6-4,Washington St.,11/30/1991,2,0,Cleveland Browns / 3rd / 96th pick / 2015,$627000
50,Brock Coyle\CoylBr00,27,LB,16,10,245,6-1,Montana,10/12/1990,3,5,,$1000000
96,Sheldon Day\DayxSh00,23,,6,0,294,6-1,Notre Dame,7/1/1994,1,1,Jacksonville Jaguars / 4th / 103rd pick / 2016,$540000
92,Leger Douzable\DouzLe00,31,de,5,5,305,6-4,Central Florida,5/31/1986,8,2,,$582353
58,Elvis Dumervil\DumeEl20,33,,16,0,250,5-11,Louisville,1/19/1984,11,1,Denver Broncos / 4th / 126th pick / 2006,$2250000
40,Antone Exum\ExumAn00,26,fs,2,1,219,6-0,Virginia Tech,2/27/1991,3,0,Minnesota Vikings / 6th / 182nd pick / 2014,$365294
56,Reuben Foster\FostRe00,23,MLB,10,10,228,6-1,Alabama,4/4/1994,Rook,5,San Francisco 49ers / 1st / 31st pick / 2017,$465000
63,Brandon Fusco\FuscBr00,29,RG,16,16,306,6-4,Slippery Rock,7/26/1988,6,8,Minnesota Vikings / 6th / 172nd pick / 2011,$1000000
15,Pierre Garcon\GarcPi00,31,WR,8,8,211,6-0,Mount Union,8/8/1986,9,4,Indianapolis Colts / 6th / 205th pick / 2008,$3675000
10,Jimmy Garoppolo\GaroJi00,26,qb,6,5,225,6-2,East. Illinois,11/2/1991,3,5,New England Patriots / 2nd / 62nd pick / 2014,$820077
76,Garry Gilliam\GillGa01,27,t,8,1,305,6-5,Penn St.,11/26/1990,3,1,,$1400000
11,Marquise Goodwin\GoodMa00,27,WR,16,16,180,5-9,Texas,11/19/1990,4,8,Buffalo Bills / 3rd / 78th pick / 2013,$1950000
9,Robbie Gould\gouldrob01,35,K,16,0,190,6-0,Penn St.,12/6/1982,12,6,,$1500000
20,Leon Hall\HallLe98,33,db,9,1,195,5-11,Michigan,12/9/1984,10,1,Cincinnati Bengals / 1st / 18th pick / 2007,$705882
57,Eli Harold\HaroEl00,23,LB,16,11,243,6-3,Virginia,1/20/1994,2,5,San Francisco 49ers / 3rd / 79th pick / 2015,$634000
83,Cole Hikutini\HikuCo00,23,,4,0,240,6-4,Louisville,6/11/1994,Rook,0,,$328235
