,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
No.,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Touch,Y/Tch,YScm,RRTD,Fmb
28,Carlos Hyde\HydeCa00,27,RB,16,16,240,938,8,61,3.9,58.6,15.0,88,59,350,5.9,0,18,3.7,21.9,67.0%,299,4.3,1288,8,2
22,Matt Breida\BreiMa00,22,,16,0,105,465,2,33,4.4,29.1,6.6,36,21,180,8.6,1,32,1.3,11.3,58.3%,126,5.1,645,3,1
3,C.J. Beathard\BeatC.00,24,qb,7,5,26,136,3,16,5.2,19.4,3.7,,,,,,,,,,26,5.2,136,3,3
10,Jimmy Garoppolo\GaroJi00,26,qb,6,5,15,11,1,8,0.7,1.8,2.5,1,1,-6,-6.0,0,-6,0.2,-1.0,100.0%,16,0.3,5,1,1
44,Kyle Juszczyk*\JuszKy00,26,FB,14,10,7,31,0,12,4.4,2.2,0.5,42,33,315,9.5,1,44,2.4,22.5,78.6%,40,8.7,346,1,2
31,Raheem Mostert\MostRa00,25,,11,0,6,30,0,16,5.0,2.7,0.5,,,,,,,,,,6,5.0,30,0,1
2,Brian Hoyer\HoyeBr00,32,qb,6,6,5,7,1,9,1.4,1.2,0.8,,,,,,,,,,5,1.4,7,1,3
11,Marquise Goodwin\GoodMa00,27,WR,16,16,4,44,0,18,11.0,2.8,0.3,105,56,962,17.2,2,83,3.5,60.1,53.3%,60,16.8,1006,2,0
85,George Kittle\KittGe00,24,te,15,7,0,0,0,0,,0.0,0.0,63,43,515,12.0,2,44,2.9,34.3,68.3%,43,12.0,515,2,0
81,Trent Taylor\TaylTr02,23,wr,15,1,0,0,0,0,,0.0,0.0,60,43,430,10.0,2,33,2.9,28.7,71.7%,43,10.0,430,2,1
15,Pierre Garcon\GarcPi00,31,WR,8,8,0,0,0,0,,0.0,0.0,67,40,500,12.5,0,59,5.0,62.5,59.7%,40,12.5,500,0,0
88,Garrett Celek\CeleGa00,29,fb/TE,16,13,0,0,0,0,,0.0,0.0,33,21,336,16.0,4,61,1.3,21.0,63.6%,21,16.0,336,4,0
19,Aldrick Robinson\RobiAl00,29,wr,16,1,0,0,0,0,,0.0,0.0,48,19,260,13.7,2,45,1.2,16.3,39.6%,19,13.7,260,2,0
84,Kendrick Bourne\BourKe00,22,,11,0,0,0,0,0,,0.0,0.0,34,16,257,16.1,0,54,1.5,23.4,47.1%,16,16.1,257,0,0
18,Louis Murphy\MurpLo00,30,wr,7,7,0,0,0,0,,0.0,0.0,17,8,121,15.1,1,40,1.1,17.3,47.1%,8,15.1,121,1,0
83,Cole Hikutini\HikuCo00,23,,4,0,0,0,0,0,,0.0,0.0,3,2,15,7.5,0,10,0.5,3.8,66.7%,2,7.5,15,0,0
,Team Total,26.2,,16,,408,1662,15,61,4.1,103.9,25.5,599,362,4235,11.7,15,83,22.6,264.7,,770,7.7,5897,30,14
,Opp Total,,,16,,491,1861,13,,3.8,116.3,30.7,,344,3764,10.9,27,,21.5,235.3,,,,5625,40,25
