No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
4,Nick Mullens\MullNi00,23,QB,8,8,210,6-1,Southern Miss,3/21/1995,Rook,6,,$129200
10,Jimmy Garoppolo\GaroJi00,27,qb,3,3,225,6-2,East. Illinois,11/2/1991,4,2,New England Patriots / 2nd / 62nd pick / 2014,$6200000
3,C.J. Beathard\BeatC.00,25,qb,6,5,215,6-2,Iowa,11/16/1993,1,3,San Francisco 49ers / 3rd / 104th pick / 2017,$625393
41,Jeff Wilson\WilsJe01,23,rb,6,2,194,6-0,,11/16/1995,Rook,2,,$129200
36,Alfred Morris\MorrAl00,30,rb,12,1,224,5-10,Florida Atlantic,12/12/1988,6,3,Washington Redskins / 6th / 173rd pick / 2012,$790000
22,Matt Breida\BreiMa00,23,RB,14,13,190,5-10,Georgia Southern,2/28/1995,1,6,,$555000
44,Kyle Juszczyk*\JuszKy00,27,FB,16,14,240,6-1,Harvard,4/23/1991,5,3,Baltimore Ravens / 4th / 130th pick / 2013,$2750000
18,Dante Pettis\PettDa00,23,wr,12,7,195,6-1,Washington,10/23/1995,Rook,3,San Francisco 49ers / 2nd / 44th pick / 2018,$480000
13,Richie James\JameRi00,23,wr,13,2,185,5-9,Middle Tenn. St.,9/5/1995,Rook,2,San Francisco 49ers / 7th / 240th pick / 2018,$480000
11,Marquise Goodwin\GoodMa00,28,WR,11,8,180,5-9,Texas,11/19/1990,5,3,Buffalo Bills / 3rd / 78th pick / 2013,$1450000
15,Pierre Garcon\GarcPi00,32,WR,8,8,211,6-0,Mount Union,8/8/1986,10,2,Indianapolis Colts / 6th / 205th pick / 2008,$6625000
84,Kendrick Bourne\BourKe00,23,WR,16,8,203,6-1,East. Washington,8/4/1995,1,4,,$555000
85,George Kittle*\KittGe00,25,TE,16,16,250,6-4,Iowa,10/9/1993,1,10,San Francisco 49ers / 5th / 146th pick / 2017,$555000
88,Garrett Celek\CeleGa00,30,te,15,1,252,6-5,Michigan St.,5/29/1988,6,1,,$1650000
74,Joe Staley\StalJo20,34,T,16,16,315,6-5,Central Michigan,8/30/1984,11,8,San Francisco 49ers / 1st / 28th pick / 2007,$8025000
69,Mike McGlinchey\McGlMi00,24,T,16,16,315,6-8,Notre Dame,8/29/1994,Rook,8,San Francisco 49ers / 1st / 9th pick / 2018,$480000
75,Laken Tomlinson\TomlLa01,26,LG,16,16,312,6-3,Duke,2/9/1992,3,7,Detroit Lions / 1st / 28th pick / 2015,$1600941
58,Weston Richburg\RichWe00,27,C,15,15,290,6-4,Colorado St.,7/9/1991,4,6,New York Giants / 2nd / 43rd pick / 2014,$3000000
62,Erik Magnuson\MagnEr00,24,c,4,1,305,6-4,Michigan,1/5/1994,1,1,,$555000
68,Michael Person\PersMi00,30,RG,16,16,300,6-4,Montana St.Montana St.,6/17/1988,7,7,San Francisco 49ers / 7th / 239th pick / 2011,$915000
94,Solomon Thomas\ThomSo00,23,DE,16,13,280,6-2,Stanford,12/20/1995,1,6,San Francisco 49ers / 1st / 3rd pick / 2017,$555000
54,Cassius Marsh\MarsCa00,26,de,16,3,245,6-4,UCLA,7/7/1992,4,3,Seattle Seahawks / 4th / 108th pick / 2014,$1100000
91,Arik Armstead\ArmsAr01,25,DE,16,16,292,6-7,Oregon,11/15/1993,3,7,San Francisco 49ers / 1st / 17th pick / 2015,$1777177
90,Earl Mitchell\MitcEa99,31,LDT,14,12,310,6-3,Arizona,9/25/1987,8,5,Houston Texans / 3rd / 81st pick / 2010,$2250000
93,D.J. Jones\JoneD.01,23,ldt,10,4,321,6-0,Mississippi,1/19/1995,1,2,San Francisco 49ers / 6th / 198th pick / 2017,$555000
99,DeForest Buckner*\BuckDe00,24,RDT,16,16,300,6-7,Oregon,3/17/1994,2,10,San Francisco 49ers / 1st / 7th pick / 2016,$630000
48,Fred Warner\WarnFr00,22,MLB,16,16,236,6-3,BYU,11/19/1996,Rook,7,San Francisco 49ers / 3rd / 70th pick / 2018,$480000
51,Malcolm Smith\SmitMa02,29,lb,12,5,225,6-0,USC,7/5/1989,7,3,Seattle Seahawks / 7th / 242nd pick / 2011,$3000000
