No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
12,Aaron Rodgers*\RodgAa00,35,QB,16,16,225,6-2,California,12/2/1983,13,13,Green Bay Packers / 1st / 24th pick / 2005,$1100000
30,Jamaal Williams\WillJa06,23,RB,16,8,213,6-0,BYU,4/3/1995,1,4,Green Bay Packers / 4th / 134th pick / 2017,$555000
33,Aaron Jones\JoneAa00,24,RB,12,8,208,5-9,Texas-El Paso,12/2/1994,1,6,Green Bay Packers / 5th / 182nd pick / 2017,$489706
83,Marquez Valdes-Scantling\ValdMa00,24,WR,16,10,206,6-4,North Carolina St.South Florida,10/10/1994,Rook,4,Green Bay Packers / 5th / 174th pick / 2018,$480000
19,Equanimeous St. Brown\St.BEq00,22,wr,12,7,214,6-5,Notre Dame,9/30/1996,Rook,2,Green Bay Packers / 6th / 207th pick / 2018,$480000
16,Jake Kumerow\KumeJa00,26,wr,5,2,209,6-4,,2/17/1992,Rook,1,,$363000
18,Randall Cobb\CobbRa00,28,wr,9,6,192,5-10,Kentucky,8/22/1990,7,3,Green Bay Packers / 2nd / 64th pick / 2011,$8600000
81,Geronimo Allison\AlliGe01,24,wr,5,4,202,6-3,Illinois,1/18/1994,2,2,,$630000
17,Davante Adams*\AdamDa01,26,WR,15,15,215,6-1,Fresno St.,12/24/1992,4,10,Green Bay Packers / 2nd / 53rd pick / 2014,$1000000
49,Robert Tonyan\TonyRo00,24,te,16,1,237,6-5,Indiana St.,4/30/1994,Rook,1,,$480000
85,Marcedes Lewis\LewiMa00,34,te,16,4,267,6-6,UCLA,5/19/1984,12,0,Jacksonville Jaguars / 1st / 28th pick / 2006,$1050000
84,Lance Kendricks\KendLa00,30,te,16,3,250,6-3,Wisconsin,1/30/1988,7,1,St. Louis Rams / 2nd / 47th pick / 2011,$1250000
80,Jimmy Graham\GrahJi00,32,TE,16,12,265,6-7,Miami (FL),11/24/1986,8,5,New Orleans Saints / 3rd / 95th pick / 2010,$1450000
78,Jason Spriggs\SpriJa00,24,t,13,2,301,6-6,Indiana,5/17/1994,2,2,Green Bay Packers / 2nd / 48th pick / 2016,$904936
75,Bryan Bulaga\BulaBr20,29,T,14,14,314,6-5,Iowa,3/21/1989,8,7,Green Bay Packers / 1st / 23rd pick / 2010,$5850000
69,David Bakhtiari+\BakhDa00,27,T,16,16,310,6-4,Colorado,9/30/1991,5,15,Green Bay Packers / 4th / 109th pick / 2013,$1000000
65,Lane Taylor\TaylLa01,29,LG,15,14,324,6-3,Oklahoma St.,11/22/1989,5,6,,$1100000
63,Corey Linsley\LinsCo00,27,C,16,16,301,6-3,Ohio St.,7/27/1991,4,6,Green Bay Packers / 5th / 161st pick / 2014,$1000000
62,Lucas Patrick\PatrLu00,25,rg,14,4,313,6-3,Duke,7/30/1993,1,2,,$555000
