No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
31,Maurice Alexander\AlexMa00,26,ss,4,4,220,6-2,Utah St.,2/16/1991,3,2,St. Louis Rams / 4th / 110th pick / 2014,$1797000
11,Tavon Austin\AustTa00,27,WR,16,9,179,5-8,West Virginia,3/15/1990,4,3,St. Louis Rams / 1st / 8th pick / 2013,$3500000
26,Mark Barron\BarrMa00,28,LB,14,14,230,6-2,Alabama,10/27/1989,5,7,Tampa Bay Buccaneers / 1st / 7th pick / 2012,$5000000
98,Connor Barwin\BarwCo99,31,LB,14,13,255,6-4,Cincinnati,10/15/1986,8,6,Houston Texans / 2nd / 46th pick / 2009,$2000000
66,Austin Blythe\BlytAu00,25,lg,16,1,298,6-3,Iowa,6/16/1992,1,2,Indianapolis Colts / 7th / 248th pick / 2016,$540000
90,Michael Brockers\BrocMi00,27,de,16,15,305,6-5,LSU,12/21/1990,5,7,St. Louis Rams / 1st / 14th pick / 2012,$1250000
68,Jamon Brown\BrowJa04,24,RG,16,16,340,6-4,Louisville,3/15/1993,2,8,St. Louis Rams / 3rd / 72nd pick / 2015,$686686
34,Malcolm Brown\BrowMa03,24,rb,11,1,222,5-11,Texas,5/15/1993,2,2,,$540000
86,Derek Carrier\CarrDe00,27,te,14,3,244,6-4,Beloit,7/25/1990,5,1,,$950000
41,Marqui Christian\ChriMa00,23,,12,0,207,5-11,Midwestern St.,10/27/1994,1,1,Arizona Cardinals / 5th / 167th pick / 2016,$540000
10,Pharoh Cooper*+\CoopPh00,22,wr,16,1,208,5-11,South Carolina,3/7/1995,1,2,Los Angeles Rams / 4th / 117th pick / 2016,$540000
24,Blake Countess\CounBl00,24,fs,16,1,191,5-10,AuburnMichigan,8/8/1993,1,2,Philadelphia Eagles / 6th / 196th pick / 2016,$540000
38,Cody Davis\DaviCo02,28,fs,7,2,203,6-2,Texas Tech,6/6/1989,4,1,,$1111111
33,Justin Davis\DaviJu00,22,,4,0,199,6-1,USC,11/11/1995,Rook,0,,$465000
99,Aaron Donald*+\DonaAa00,26,DT,14,14,280,6-1,Pittsburgh,5/23/1991,3,15,St. Louis Rams / 1st / 13th pick / 2014,$1802250
25,Lance Dunbar\DunbLa00,27,,4,0,191,5-8,North Texas,1/25/1990,5,0,,$1000000
