,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
No.,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Touch,Y/Tch,YScm,RRTD,Fmb
30,Todd Gurley*+\GurlTo01,23,RB,15,15,279,1305,13,57,4.7,87.0,18.6,87,64,788,12.3,6,80,4.3,52.5,73.6%,343,6.1,2093,19,5
34,Malcolm Brown\BrowMa03,24,rb,11,1,63,246,1,20,3.9,22.4,5.7,11,9,53,5.9,0,16,0.8,4.8,81.8%,72,4.2,299,1,1
11,Tavon Austin\AustTa00,27,WR,16,9,59,270,1,27,4.6,16.9,3.7,22,13,47,3.6,0,13,0.8,2.9,59.1%,72,4.4,317,1,5
16,Jared Goff*\GoffJa00,23,QB,15,15,28,51,1,22,1.8,3.4,1.9,,,,,,,,,,28,1.8,51,1,8
25,Lance Dunbar\DunbLa00,27,,4,0,11,51,1,12,4.6,12.8,2.8,3,1,1,1.0,0,1,0.3,0.3,33.3%,12,4.3,52,1,0
14,Sean Mannion\MannSe00,25,qb,5,1,9,-2,0,3,-0.2,-0.4,1.8,,,,,,,,,,9,-0.2,-2,0,2
17,Robert Woods\WoodRo02,25,WR,12,11,2,12,0,8,6.0,1.0,0.2,85,56,781,13.9,5,94,4.7,65.1,65.9%,58,13.7,793,5,1
81,Gerald Everett\EverGe00,23,te,16,2,1,13,0,13,13.0,0.8,0.1,32,16,244,15.3,2,69,1.0,15.3,50.0%,17,15.1,257,2,1
10,Pharoh Cooper*+\CoopPh00,22,wr,16,1,1,6,0,6,6.0,0.4,0.1,19,11,84,7.6,0,26,0.7,5.3,57.9%,12,7.5,90,0,3
33,Justin Davis\DaviJu00,22,,4,0,1,1,0,1,1.0,0.3,0.3,,,,,,,,,,1,1.0,1,0,0
18,Cooper Kupp\KuppCo00,24,wr,15,6,0,0,0,0,,0.0,0.0,94,62,869,14.0,5,64,4.1,57.9,66.0%,62,14.0,869,5,1
12,Sammy Watkins\WatkSa00,24,WR,15,14,0,0,0,0,,0.0,0.0,70,39,593,15.2,8,67,2.6,39.5,55.7%,39,15.2,593,8,0
89,Tyler Higbee\HigbTy00,24,TE,16,16,0,0,0,0,,0.0,0.0,45,25,295,11.8,1,38,1.6,18.4,55.6%,25,11.8,295,1,0
83,Josh Reynolds\ReynJo00,22,wr,16,1,0,0,0,0,,0.0,0.0,24,11,104,9.5,1,28,0.7,6.5,45.8%,11,9.5,104,1,0
86,Derek Carrier\CarrDe00,27,te/wr,14,3,0,0,0,0,,0.0,0.0,11,8,71,8.9,0,17,0.6,5.1,72.7%,8,8.9,71,0,0
88,Mike Thomas\ThomMi04,23,wr,8,1,0,0,0,0,,0.0,0.0,7,5,93,18.6,0,50,0.6,11.6,71.4%,5,18.6,93,0,1
,Team Total,25.4,,16,,454,1953,17,57,4.3,122.1,28.4,510,320,4023,12.6,28,94,20.0,251.4,,774,7.7,5976,45,29
,Opp Total,,,16,,418,1957,15,,4.7,122.3,26.1,,324,3475,10.7,21,,20.3,217.2,,,,5432,36,23
