No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
8,Brandon Allen\AlleBr00,26,,1,0,209,6-2,Arkansas,9/5/1992,Rook,0,Jacksonville Jaguars / 6th / 201st pick / 2016,$630000
55,Brian Allen\AlleBr02,23,,12,0,303,6-2,Michigan St.,10/11/1995,Rook,1,Los Angeles Rams / 4th / 111th pick / 2018,$480000
35,C.J. Anderson\AndeC.00,27,rb,2,2,225,5-8,California,2/10/1991,5,2,,$92941
26,Mark Barron\BarrMa00,29,LB,12,12,230,6-2,Alabama,10/27/1989,6,5,Tampa Bay Buccaneers / 1st / 7th pick / 2012,$6499999
66,Austin Blythe\BlytAu00,26,RG,16,16,298,6-3,Iowa,6/16/1992,2,10,Indianapolis Colts / 7th / 248th pick / 2016,$630000
90,Michael Brockers\BrocMi00,28,DE,16,16,305,6-5,LSU,12/21/1990,6,7,St. Louis Rams / 1st / 14th pick / 2012,$5250000
68,Jamon Brown\BrowJa04,25,,6,0,340,6-4,Louisville,3/15/1993,3,1,St. Louis Rams / 3rd / 72nd pick / 2015,$1682647
34,Malcolm Brown\BrowMa03,25,,12,0,222,5-11,Texas,5/15/1993,3,2,,$630000
41,Marqui Christian\ChriMa00,24,,16,0,207,5-11,Midwestern St.,10/27/1994,2,1,Arizona Cardinals / 5th / 167th pick / 2016,$630000
12,Brandin Cooks\CookBr00,25,WR,16,16,183,5-10,Oregon St.,9/25/1993,4,13,New Orleans Saints / 1st / 20th pick / 2014,$4000000
10,Pharoh Cooper\CoopPh00,23,,5,0,208,5-11,South Carolina,3/7/1995,2,0,Los Angeles Rams / 4th / 117th pick / 2016,$406941
24,Blake Countess\CounBl00,25,fs,16,1,191,5-10,AuburnMichigan,8/8/1993,2,1,Philadelphia Eagles / 6th / 196th pick / 2016,$630000
33,Justin Davis\DaviJu00,23,,11,0,199,6-1,USC,11/11/1995,1,0,,$555000
99,Aaron Donald*+\DonaAa00,27,DT,16,16,280,6-1,Pittsburgh,5/23/1991,4,15,St. Louis Rams / 1st / 13th pick / 2014,$892000
91,Dominique Easley\EaslDo00,26,lb,3,3,263,6-2,Florida,4/28/1992,4,1,New England Patriots / 1st / 29th pick / 2014,$705000
